time,open,high,low,close,volume
Tue Feb 03 2026 15:53:00 GMT+0300 (Москва, стандартное время),304.44,304.44,304.37,304.43,10803
Tue Feb 03 2026 15:54:00 GMT+0300 (Москва, стандартное время),304.43,304.43,304.34,304.42,12668
Tue Feb 03 2026 15:55:00 GMT+0300 (Москва, стандартное время),304.42,304.43,304.37,304.42,2138
Tue Feb 03 2026 15:56:00 GMT+0300 (Москва, стандартное время),304.4,304.43,304.4,304.41,14572
Tue Feb 03 2026 15:57:00 GMT+0300 (Москва, стандартное время),304.4,304.41,304.29,304.31,19734
Tue Feb 03 2026 15:58:00 GMT+0300 (Москва, стандартное время),304.31,304.36,304.31,304.35,5772
Tue Feb 03 2026 15:59:00 GMT+0300 (Москва, стандартное время),304.34,304.35,304.33,304.33,3983
Tue Feb 03 2026 16:00:00 GMT+0300 (Москва, стандартное время),304.35,304.47,304.23,304.47,36335
Tue Feb 03 2026 16:01:00 GMT+0300 (Москва, стандартное время),304.47,304.5,304.45,304.48,23489
Tue Feb 03 2026 16:02:00 GMT+0300 (Москва, стандартное время),304.5,304.5,304.37,304.43,6814
Tue Feb 03 2026 16:03:00 GMT+0300 (Москва, стандартное время),304.44,304.49,304.44,304.46,4173
Tue Feb 03 2026 16:04:00 GMT+0300 (Москва, стандартное время),304.47,304.5,304.44,304.45,6683
Tue Feb 03 2026 16:05:00 GMT+0300 (Москва, стандартное время),304.45,304.46,304.37,304.38,2526
Tue Feb 03 2026 16:06:00 GMT+0300 (Москва, стандартное время),304.37,304.38,304.31,304.32,7111
Tue Feb 03 2026 16:07:00 GMT+0300 (Москва, стандартное время),304.32,304.4,304.32,304.4,7240
Tue Feb 03 2026 16:08:00 GMT+0300 (Москва, стандартное время),304.4,304.44,304.37,304.43,13865
Tue Feb 03 2026 16:09:00 GMT+0300 (Москва, стандартное время),304.43,304.54,304.43,304.53,17779
Tue Feb 03 2026 16:10:00 GMT+0300 (Москва, стандартное время),304.52,304.58,304.52,304.55,24744
Tue Feb 03 2026 16:11:00 GMT+0300 (Москва, стандартное время),304.55,304.56,304.41,304.43,30577
Tue Feb 03 2026 16:12:00 GMT+0300 (Москва, стандартное время),304.43,304.49,304.37,304.49,20180
Tue Feb 03 2026 16:13:00 GMT+0300 (Москва, стандартное время),304.5,304.59,304.45,304.5,39583
Tue Feb 03 2026 16:14:00 GMT+0300 (Москва, стандартное время),304.48,304.56,304.48,304.54,3204
Tue Feb 03 2026 16:15:00 GMT+0300 (Москва, стандартное время),304.53,304.59,304.5,304.59,6923
Tue Feb 03 2026 16:16:00 GMT+0300 (Москва, стандартное время),304.59,304.6,304.55,304.57,7588
Tue Feb 03 2026 16:17:00 GMT+0300 (Москва, стандартное время),304.58,304.6,304.52,304.59,20269
