i,equity
50,100068.99497322337
51,100088.70782271578
52,100091.99329763117
53,100114.99162203896
54,100121.56257186977
55,100128.13352170055
56,100128.13352170055
57,100128.13352170055
58,100131.41899661595
59,100124.84804678516
60,100128.13352170055
61,100124.84804678516
62,100128.13352170055
63,100128.13352170055
64,100124.84804678516
65,100141.27542136215
66,100131.41899661595
67,100131.41899661595
68,100091.99329763117
69,100095.27877254658
70,100118.27709695438
71,100118.27709695438
72,100124.84804678516
73,100111.70614712356
74,100105.13519729277
75,100114.99162203896
76,100134.70447153134
77,100134.70447153134
78,100134.70447153134
79,100134.70447153134
80,100118.27709695438
81,100134.70447153134
82,100124.84804678516
83,100114.99162203896
84,100124.84804678516
85,100108.42067220816
86,100124.84804678516
87,100091.99329763117
88,100091.99329763117
89,100075.56592305418
90,100029.56927423859
91,100082.13687288499
92,100065.70949830797
93,100078.85139796957
94,100108.42067220816
95,100111.70614712356
96,100108.42067220816
97,100128.13352170055
98,100128.13352170055
99,100128.13352170055
100,100124.84804678516
101,100111.70614712356
102,100128.13352170055
103,100128.13352170055
104,100131.41899661595
105,100108.42067220816
106,100065.70949830797
107,100059.13854847719
108,100075.56592305418
109,100114.99162203896
110,100114.99162203896
111,100118.27709695438
112,100118.27709695438
113,100134.70447153134
114,100134.70447153134
115,100134.70447153134
116,100137.98994644676
117,100137.98994644676
118,100105.13519729277
119,100118.27709695438
120,100137.98994644676
121,100141.27542136215
122,100128.13352170055
123,100131.41899661595
124,100124.84804678516
125,100124.84804678516
126,100121.56257186977
127,100108.42067220816
128,100108.42067220816
129,100108.42067220816
130,100085.42234780038
131,100065.70949830797
132,100082.13687288499
133,100045.99664881558
134,100026.2837993232
135,100009.85642474618
136,100000
137,99973.7162006768
138,99957.28882609982
139,99960.57430101522
140,99947.43240135361
141,99924.4340769458
142,99954.00335118442
143,99957.28882609982
144,99944.14692643822
145,99947.43240135361
146,99957.28882609982
147,99957.28882609982
148,99957.28882609982
149,99960.57430101522
150,100009.85642474618
151,99977.00167559221
152,99986.85810033839
153,99977.00167559221
154,99996.71452508461
155,99983.572625423
156,99980.2871505076
157,99954.00335118442
158,99957.28882609982
159,99970.4307257614
160,99967.145250846
161,99947.43240135361
162,99957.28882609982
163,99954.00335118442
164,99898.15027762263
165,99921.14860203041
166,99911.29217728422
167,99944.14692643822
168,99944.14692643822
169,99944.14692643822
170,99944.14692643822
171,99944.14692643822
172,99937.57597660742
173,99747.01843151428
174,99816.01340473766
175,99858.72457863783
176,99865.29552846863
177,99875.15195321484
178,99875.15195321484
179,99875.15195321484
180,99894.86480270723
181,99904.72122745342
182,99901.43575253803
183,99894.86480270723
