conf,hold,stop,take,trades,pnl,dd
0.65,5,0.002,0.004,31,0.9310001611214647,0.2520216146323611
0.65,5,0.002,0.006,31,0.9310001611214647,0.2520216146323611
0.65,5,0.002,0.008,31,0.9310001611214647,0.2520216146323611
0.65,5,0.002,0.01,31,0.9310001611214647,0.2520216146323611
0.65,5,0.003,0.004,31,0.9310001611214647,0.2520216146323611
0.65,5,0.003,0.006,31,0.9310001611214647,0.2520216146323611
0.65,5,0.003,0.008,31,0.9310001611214647,0.2520216146323611
0.65,5,0.003,0.01,31,0.9310001611214647,0.2520216146323611
0.65,5,0.004,0.004,31,0.9310001611214647,0.2520216146323611
0.65,5,0.004,0.006,31,0.9310001611214647,0.2520216146323611
0.65,5,0.004,0.008,31,0.9310001611214647,0.2520216146323611
0.65,5,0.004,0.01,31,0.9310001611214647,0.2520216146323611
0.65,3,0.002,0.004,35,0.16942277804532502,0.3541652544097888
0.65,3,0.002,0.006,35,0.16942277804532502,0.3541652544097888
0.65,3,0.002,0.008,35,0.16942277804532502,0.3541652544097888
0.65,3,0.002,0.01,35,0.16942277804532502,0.3541652544097888
0.65,3,0.003,0.004,35,0.16942277804532502,0.3541652544097888
0.65,3,0.003,0.006,35,0.16942277804532502,0.3541652544097888
0.65,3,0.003,0.008,35,0.16942277804532502,0.3541652544097888
0.65,3,0.003,0.01,35,0.16942277804532502,0.3541652544097888
0.65,3,0.004,0.004,35,0.16942277804532502,0.3541652544097888
0.65,3,0.004,0.006,35,0.16942277804532502,0.3541652544097888
0.65,3,0.004,0.008,35,0.16942277804532502,0.3541652544097888
0.65,3,0.004,0.01,35,0.16942277804532502,0.3541652544097888
0.6,5,0.002,0.004,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.002,0.006,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.002,0.008,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.002,0.01,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.003,0.004,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.003,0.006,67,-0.7059268713560884,1.1943460576224052
0.6,5,0.003,0.008,67,-0.7059268713560884,1.1943460576224052
