i,type,price,pnl
53,BUY,304.72,
59,SELL,304.75,0.00009845103701750036
62,BUY,304.76,
63,SELL,304.76,0
65,BUY,304.8,
68,SELL,304.65,-0.0004921259842520804
71,BUY,304.73,
73,SELL,304.71,-0.00006563187083660504
76,BUY,304.78,
79,SELL,304.78,0
86,BUY,304.75,
87,SELL,304.65,-0.00032813781788358567
114,BUY,304.78,
118,SELL,304.69,-0.0002952949668612606
121,BUY,304.8,
123,SELL,304.77,-0.00009842519685049067
214,BUY,304.19,
218,SELL,304.21,0.0000657483809460594
235,BUY,303.86,
240,SELL,303.87,0.00003290989271371982
312,BUY,303.93,
316,SELL,303.93,0
320,BUY,303.93,
321,SELL,303.93,0
322,BUY,303.94,
325,SELL,303.94,0
331,BUY,303.88,
339,SELL,304,0.00039489272081086134
342,BUY,304.01,
344,SELL,303.8,-0.0006907667510936467
347,BUY,304.09,
351,SELL,304.17,0.00026308000920793493
356,BUY,304.19,
359,SELL,304.19,0
368,BUY,304.05,
374,SELL,304.06,0.000032889327413224485
377,BUY,304.07,
379,SELL,304.06,-0.00003288716413980631
467,BUY,304.4,
468,SELL,304.18,-0.0007227332457292065
471,BUY,304.33,
474,SELL,304.24,-0.0002957316071369073
480,BUY,304.19,
481,SELL,304.1,-0.0002958677142574542
485,BUY,304.03,
491,SELL,304.22,0.0006249383284546084
494,BUY,304.24,
503,SELL,304.25,0.000032868787799076073
506,BUY,304.28,
509,SELL,304.21,-0.00023005126856840143
518,BUY,304.01,
528,SELL,304.26,0.0008223413703496596
540,BUY,304.22,
545,SELL,304.27,0.0001643547432777415
549,BUY,304.36,
559,SELL,304.64,0.0009199632014718515
562,BUY,304.66,
564,SELL,304.63,-0.00009847042604880704
565,BUY,304.67,
566,SELL,304.62,-0.00016411199002202832
570,BUY,304.61,
572,SELL,304.6,-0.00003282886313643973
573,BUY,304.62,
575,SELL,304.58,-0.0001313111417504447
580,BUY,304.55,
583,SELL,304.36,-0.0006238712855031939
586,BUY,304.59,
589,SELL,304.55,-0.0001313240749859274
592,BUY,304.57,
596,SELL,304.55,-0.00006566634927925209
622,BUY,304.63,
624,SELL,304.62,-0.00003282670780944393
625,BUY,304.64,
631,SELL,304.6,-0.00013130252100828396
635,BUY,304.56,
646,SELL,305.28,0.0023640661938533307
658,BUY,304.8,
659,SELL,304.8,0
660,BUY,304.82,
661,SELL,304.73,-0.00029525621678359355
666,BUY,304.71,
681,SELL,305.29,0.0019034491811888057
684,BUY,305.3,
691,SELL,305.47,0.0005568293481821681
698,BUY,305.39,
702,SELL,305.46,0.00022921510200069807
703,BUY,305.57,
704,SELL,305.59,0.00006545145138587496
709,BUY,305.57,
712,SELL,305.5,-0.00022908007985074838
713,BUY,305.63,
715,SELL,305.41,-0.000719824624545923
717,BUY,305.65,
721,SELL,305.3,-0.0011451006052673512
724,BUY,305.31,
730,SELL,305.64,0.001080868625331578
733,BUY,305.65,
734,SELL,305.64,-0.000032717160150469186
747,BUY,305.38,
748,SELL,305.4,0.00006549217368518505
749,BUY,305.37,
750,SELL,305.35,-0.00006549431836782202
786,BUY,305.44,
795,SELL,305.52,0.00026191723415395525
802,BUY,305.16,
803,SELL,305.17,0.000032769694586416647
805,BUY,305.21,
806,SELL,305.17,-0.00013105730480640748
830,BUY,305.52,
831,SELL,305.48,-0.00013092432573960338
832,BUY,305.53,
833,SELL,305.48,-0.0001636500507313669
839,BUY,305.41,
844,SELL,305.41,0
849,BUY,305.43,
851,SELL,305.35,-0.0002619258095144029
853,BUY,305.44,
857,SELL,305.47,0.00009821896280784952
858,BUY,305.49,
863,SELL,305.57,0.0002618743657729683
864,BUY,305.66,
868,SELL,305.67,0.00003271608977292058
873,BUY,305.64,
875,SELL,305.56,-0.000261745844784662
886,BUY,305.55,
888,SELL,305.5,-0.00016363933889710806
889,BUY,305.65,
892,SELL,305.57,-0.0002617372812039394
894,BUY,305.59,
896,SELL,305.55,-0.00013089433554751013
948,BUY,304.99,
955,SELL,305.18,0.0006229712449588436
956,BUY,305.18,
958,SELL,305.12,-0.0001966052821285873
965,BUY,304.96,
967,SELL,304.88,-0.00026232948583415557
968,BUY,304.97,
969,SELL,304.82,-0.0004918516575401977
972,BUY,304.87,
973,SELL,304.8,-0.00022960606160000386
978,BUY,304.83,
983,SELL,304.92,0.0002952465308533669
